"","Station","State","airportCode","Lat","Lon","Elevation","WMO"
"344","Bridgeport","CT","KBDR",41.17,-73.13,5,72504
"345","Danbury","CT","KDXR",41.37,-73.48,139,99999
"346","Groton","CT","KGON",41.33,-72.05,3,99999
"347","Hartford Brainard","CT","KHFD",41.73,-72.65,6,99999
"348","New Haven","CT","KHVN",41.27,-72.88,4,99999
"349","Willimantic","CT","KIJD",41.75,-72.18,148,99999
"350","Oxford","CT","KOXC",41.48,-73.13,222,99999
"351","Dover AFB","DE","KDOV",39.13,-75.47,9,99999
"352","Georgetown","DE","KGED",38.69,-75.36,15,99999
"353","Wilmington","DE","KILG",39.68,-75.6,24,99999
"354","Tampa Vandenberg","FL","KVDF",28.01,-82.35,7,99999
"355","Kissimmee","FL","KISM",28.23,-81.44,25,99999
"356","Stuart","FL","KSUA",27.18,-80.22,5,99999
"357","Hollywood","FL","KHWO",26,-80.24,3,99999
"358","Pompano Beach","FL","KPMP",26.25,-80.11,6,99999
"359","Naples","FL","KAPF",26.15,-81.77,3,99999
"360","Apalachicola","FL","KAAF",29.73,-85.03,6,72220
"361","Brooksville","FL","KBKV",28.47,-82.45,20,99999
"362","Bartow","FL","KBOW",27.95,-81.78,39,99999
"363","Crestview","FL","KCEW",30.78,-86.52,65,99999
"364","Cocoa","FL","KCOF",28.23,-80.6,3,74795
"365","Jacksonville Craig","FL","KCRG",30.33,-81.52,12,99999
"366","Cross City","FL","KCTY",29.62,-83.1,13,72212
"367","Daytona Beach","FL","KDAB",29.18,-81.05,11,99999
"368","Destin","FL","KDTS",30.4,-86.47,6,99999
"369","Key West","FL","KEYW",24.55,-81.75,6,72201
"370","Ft Lauderdale","FL","KFLL",26.07,-80.15,7,99999
"371","Fort Myers","FL","KFMY",26.58,-81.87,5,99999
"372","Ft Pierce","FL","KFPR",27.5,-80.37,7,99999
"373","Fort Lauderdale","FL","KFXE",26.2,-80.17,4,99999
"374","Winter Haven","FL","KGIF",28.05,-81.75,44,99999
"375","Gainesville","FL","KGNV",29.68,-82.27,46,99999
"376","Hurlburt Field","FL","KHRT",30.43,-86.68,12,74777
"377","Homestead AFB","FL","KHST",25.48,-80.38,2,99999
"378","Jacksonville","FL","KJAX",30.5,-81.7,9,72206
"379","Lakeland Region","FL","KLAL",27.98,-82.02,43,99999
"380","Leesburg","FL","KLEE",28.82,-81.81,30,99999
"381","Tampa Macdill AFB","FL","KMCF",27.85,-82.52,4,74788
"382","Orlando International","FL","KMCO",28.43,-81.32,32,72205
"383","Miami","FL","KMIA",25.82,-80.28,4,72202
"384","Melbourne","FL","KMLB",28.1,-80.65,11,72204
"385","Marathon","FL","KMTH",24.73,-81.05,2,99999
"386","Marianna","FL","KMAI",30.84,-85.18,34,99999
"387","Jacksonville NAS","FL","KNIP",30.23,-81.68,7,99999
"388","Pensacola NAS","FL","KNPA",30.35,-87.32,9,99999
"389","Key West NAS","FL","KNQX",24.57,-81.68,2,99999
"390","Mayport NS","FL","KNRB",30.4,-81.42,5,99999
"391","Whiting Fld NAS","FL","KNSE",30.72,-87.02,61,99999
"392","Cecil Field","FL","KVQQ",30.22,-81.88,25,99999
"393","Ocala","FL","KOCF",29.17,-82.22,27,99999
"394","Opa Locka","FL","KOPF",25.9,-80.28,3,99999
"395","Orlando","FL","KORL",28.55,-81.33,34,99999
"396","Panama City Tyndall AFB","FL","KPAM",30.07,-85.58,5,74775
"397","West Palm Beach","FL","KPBI",26.68,-80.12,6,72203
"398","Panama City","FL","KPFN",30.22,-85.68,6,99999
"399","Perry","FL","K40J",30.07,-83.58,14,99999
"400","Punta Gorda","FL","KPGD",26.92,-81.99,11,99999
"401","St. Petersburg International","FL","KPIE",27.92,-82.68,3,99999
"402","Pensacola","FL","KPNS",30.47,-87.18,37,99999
"403","Fort Myers International","FL","KRSW",26.53,-81.75,9,99999
"404","Sanford","FL","KSFB",28.78,-81.23,17,99999
"405","St. Augustine","FL","KSGJ",29.97,-81.33,3,99999
"406","St. Petersburg","FL","KSPG",27.77,-82.63,2,99999
"407","Sarasota","FL","KSRQ",27.4,-82.55,9,99999
"408","Titusville","FL","KTIX",28.52,-80.8,11,99999
"409","Tallahassee","FL","KTLH",30.38,-84.37,21,72214
"410","Kendall","FL","KTMB",25.65,-80.43,3,99999
"411","Tampa","FL","KTPA",27.97,-82.53,3,72211
"412","Nasa Shuttle","FL","KTTS",28.62,-80.72,3,99999
"413","Valparaiso","FL","KVPS",30.48,-86.53,26,72221
"414","Vero Beach","FL","KVRB",27.65,-80.42,8,99999
"415","Winder","GA","KWDR",33.99,-83.67,287,99999
"416","Lawrenceville","GA","KLZU",33.98,-83.97,323,99999
"417","Marietta McCollum Field","GA","KRYY",34.01,-84.6,317,99999
"418","Thomaston","GA","KOPN",32.95,-84.27,243,99999
"419","La Grange","GA","KLGC",33.02,-85.07,211,99999
"420","Cartersville","GA","KVPC",34.13,-84.85,229,99999
"421","Vidalia","GA","KVDI",32.19,-82.37,84,99999
"422","Albany","GA","KABY",31.53,-84.18,59,72216
"423","Augusta Bush","GA","KAGS",33.37,-81.97,45,72218
"424","Athens","GA","KAHN",33.95,-83.32,247,72311
"425","Alma","GA","KAMG",31.53,-82.5,61,99999
"426","Atlanta","GA","KATL",33.65,-84.42,315,72219
"427","Waycross","GA","KAYS",31.25,-82.4,46,72213
"428","Brunswick","GA","KBQK",31.25,-81.47,8,99999
"429","Columbus","GA","KCSG",32.52,-84.93,121,99999
"430","Augusta","GA","KDNL",33.4,-82,9999,99999
"431","Peachtree City","GA","KFFC",33.34,-84.57,265,99999
"432","Atlanta Fulton","GA","KFTY",33.78,-84.52,256,99999
"433","Dalton","GA","KDNN",34.72,-84.87,216,99999
"434","Gainesville","GA","KGVL",34.32,-83.83,38,99999
"435","Ft. Stewart","GA","KLHW",31.88,-81.57,14,72209
"436","Fort Benning","GA","KLSF",32.33,-84.83,71,72225
"437","Macon","GA","KMCN",32.7,-83.65,110,72217
"438","Marietta","GA","KMGE",33.92,-84.52,326,72227
"439","Newnan","GA","KCCO",33.31,-84.77,296,99999
"440","Atlanta Dekalb","GA","KPDK",33.88,-84.3,305,99999
"441","Rome","GA","KRMG",34.35,-85.17,196,72320
